TIPO_DATO;LOTE;COD_DIST;DISTRITO;COD_BARRIO;BARRIO;DIRECCION COMPLETA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;TIPO_NUMERO;NUMERO;UTM_X;UTM_Y;LATITUD;LONGITUD;DIRECCIÓN COMPLETA AMPLIADA;MÁS INFORMACIÓN
CONTENEDOR DE ROPA;02;14;MORATALAZ;145;FONTARRON;CALLE DEL CORREGIDOR JUAN FRANCISCO DE LUJAN, 106;CALLE;DEL;CORREGIDOR JUAN FRANCISCO DE LUJAN;Número;106;445167,3568;4472557,781;40,40182461;-3,64617286;CALLE DEL CORREGIDOR JUAN FRANCISCO DE LUJAN, 106 CPK La Bankarrota;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;14;MORATALAZ;145;FONTARRON;CALLE DEL CORREGIDOR ALONSO DE TOBAR, 8;CALLE;DEL;CORREGIDOR ALONSO DE TOBAR;Número;8;444954,6593;4472723,294;40,40330162;-3,64869355;CALLE DEL CORREGIDOR ALONSO DE TOBAR, 8;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;14;MORATALAZ;143;MARROQUINA;CALLE DE ANTONIO CUMELLA, 22;CALLE;DE;ANTONIO CUMELLA;Número;22;446043,7006;4473498,193;40,41035367;-3,63592596;CALLE DE ANTONIO CUMELLA, 22;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;14;MORATALAZ;143;MARROQUINA;AVENIDA DEL DOCTOR GARCIA TAPIA, 47;AVENIDA;DEL;DOCTOR GARCIA TAPIA;Número;47;445012,1744;4473710,352;40,41219742;-3,64810108;AVENIDA DEL DOCTOR GARCIA TAPIA, 47;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;14;MORATALAZ;143;MARROQUINA;CALLE DE MARIO CABRE, 23;CALLE;DE;MARIO CABRE;Número;23;446138,7793;4473089,149;40,40667491;-3,63477082;CALLE DE MARIO CABRE, 23;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;10;LATINA;107;AGUILAS;CALLE DE NAVIA 13;CALLE;DE;NAVIA;Número;13;434884,1656;4470772,191;40,38499867;-3,76716261;CALLE DE NAVIA 13;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;10;LATINA;107;AGUILAS;CALLE DE FAUSTINO CORDON BONET 36;CALLE;DE;FAUSTINO CORDON BONET;Número;36;433596,0652;4470677,893;40,38404754;-3,78232722;CALLE DE FAUSTINO CORDON BONET 36;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;17;VILLAVERDE;175;ANGELES;CALLE DE LA DEL MANOJO DE ROSAS, 41;CALLE;DE;LA DEL MANOJO DE ROSAS;Número;41;440798,837;4467673,293;40,35752336;-3,69719625;CALLE DE LA DEL MANOJO DE ROSAS, 41;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;13;PUENTE DE VALLECAS;133;PALOMERAS BAJAS;CALLE DE MOGAMBO, 8;CALLE;DE;MOGAMBO;Número;8;444332,3167;4470100,322;40,37963094;-3,65579796;CALLE DE MOGAMBO, 8;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;10;LATINA;101;LOS CARMENES;CALLE DE LA ALHAMBRA 33;CALLE;DE LA;ALHAMBRA;Número;33;436856,0528;4472230,196;40,3982848;-3,74407725;CALLE DE LA ALHAMBRA 33;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
