Orden;Tipo Contenedor;Modelo;Lote;Distrito;Barrio;Carga;Coordenda X;Coordenada Y;Latitud;Longitud;Código Situado;Dirección
3528;Vidrio;V 3100 CS;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Superior;448060,614;4476288,024;40,435614631982;-3,612383916528;CS_207_051;AVENIDA CANILLEJAS A VICALVARO, 61
3529;Papel-Cartón;PC 3100 CS;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Superior;448153,907;4476209,148;40,434909890024;-3,611277583145;CS_207_002;CALLE TROYA, 32
3530;Vidrio;V 3100 CS;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Superior;448153,907;4476209,148;40,434909890024;-3,611277583145;CS_207_002;CALLE TROYA, 32
3531;Papel-Cartón;PC 3100 CS;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Superior;448210,01;4476838,78;40,440585492528;-3,610667470016;CS_207_010;CALLE CANAL DEL BOSFORO, 25
3532;Vidrio;V 3100 CS;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Superior;448210,01;4476838,78;40,440585492528;-3,610667470016;CS_207_010;CALLE CANAL DEL BOSFORO, 25
3533;Papel-Cartón;PC 3100 CS;3;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;Carga Superior;448123,425;4469213,184;40,371883734184;-3,611066769993;CS_183_153;CALLE VILLALUENGA DE LA SAGRA, 7
3534;Vidrio;V 3100 CS;3;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;Carga Superior;448123,425;4469213,184;40,371883734184;-3,611066769993;CS_183_153;CALLE VILLALUENGA DE LA SAGRA, 7
3535;Papel-Cartón;PC 3100 CS;3;VILLA DE VALLECAS;SANTA EUGENIA;Carga Superior;448328,416;4470636,97;40,384722931949;-3,608767698029;CS_182_023;CALLE CASTRILLO DE AZA, 16
3536;Papel-Cartón;PC 3100 CS;3;VILLA DE VALLECAS;SANTA EUGENIA;Carga Superior;448328,416;4470636,97;40,384722931949;-3,608767698029;CS_182_023;CALLE CASTRILLO DE AZA, 16
3537;Vidrio;V 3100 CS VACRI;3;VILLA DE VALLECAS;SANTA EUGENIA;Carga Superior;448328,416;4470636,97;40,384722931949;-3,608767698029;CS_182_023;CALLE CASTRILLO DE AZA, 16
3538;Papel-Cartón;PC 3100 CS;2;SAN BLAS-CANILLEJAS;ARCOS;Carga Superior;447917,919;4475250,072;40,426255201688;-3,613981202748;CS_204_022;CALLE CERAMISTAS, 17
3539;Vidrio;V 3100 CS;2;SAN BLAS-CANILLEJAS;ARCOS;Carga Superior;447917,919;4475250,072;40,426255201688;-3,613981202748;CS_204_022;CALLE CERAMISTAS, 17
3540;Papel-Cartón;PC 3100 CS;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Superior;448143,739;4477491,849;40,446464597225;-3,611502156677;CS_207_028;CALLE BOLTAÑA, 78
3541;Papel-Cartón;PC 3100 CS;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Superior;448143,739;4477491,849;40,446464597225;-3,611502156677;CS_207_028;CALLE BOLTAÑA, 78
3542;Vidrio;V 3100 CS;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Superior;448143,739;4477491,849;40,446464597225;-3,611502156677;CS_207_028;CALLE BOLTAÑA, 78
3543;Resto;R 2750 CL;2;SAN BLAS-CANILLEJAS;HELLIN;Carga Lateral;447979,061;4475895,006;40,432068989628;-3,613313233482;CL_202_016;CALLE HINOJAL, 5
3544;PMB;E 2750 CL;2;SAN BLAS-CANILLEJAS;HELLIN;Carga Lateral;447979,061;4475895,006;40,432068989628;-3,613313233482;CL_202_016;CALLE HINOJAL, 5
3545;Orgánica;O 2750 CL;2;SAN BLAS-CANILLEJAS;HELLIN;Carga Lateral;447979,061;4475895,006;40,432068989628;-3,613313233482;CL_202_016;CALLE HINOJAL, 5
3546;Resto;R 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448111,051;4473223,005;40,408006158735;-3,611539183743;CL_191_109;CALLE CALAHORRA, 54
3547;PMB;E 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448111,051;4473223,005;40,408006158735;-3,611539183743;CL_191_109;CALLE CALAHORRA, 54
3548;Orgánica;O 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448111,051;4473223,005;40,408006158735;-3,611539183743;CL_191_109;CALLE CALAHORRA, 54
3549;Papel-Cartón;PC 3100 CS;3;VILLA DE VALLECAS;SANTA EUGENIA;Carga Superior;447951,746;4470498,222;40,383449548831;-3,613193853112;CS_182_008;CALLE DIEGO OLIVERA VICTORIO, 10
