TIPO DATO;UBICACIÓN;COD_DISTRITO;DISTRITO;COD_BARRIO;BARRIO;DIRECCIÓN COMPLETA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;TIPO_NÚMERO;NÚMERO;UTM X;UTM Y;LATITUD;LONGITUD;DIRECCIÓN COMPLETA AMPLIADA;DÍA_SEMANA;OBSERVACIONES;RESIUDOS ADMISIBLES
Punto limpio móvil 24 horas;Mercadillo de Parque de la Cornisa ;1;Centro;107;Águilas;Plaza de Campillo Mundo Nuevo esq Ronda Toledo) ;Plaza;de;Campillo Mundo Nuevo;número;s/n;439806,23;4472081,19;40,3971611;-3,709301385;Plaza Campillo Mundo Nuevo esq Ronda Toledo) ;Martes;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo de Santa Ana ;8;Fuencarral-El Pardo;086;Valverde;Calle San Cugat del Valles, 4;Calle;Null;San Cugat del Valles;número;4;441239,30;4483201,31;40,49743841;-3,693444635;Calle San Cugat del Valles, 4;Miércoles;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Vía pública;5;Chamartín;056;Castilla;Avenida Burgos, 24;Avenida;Null;Burgos;número;24;442755,09;4480987,69;40,4776031;-3,6753578;Avenida Burgos, 24;Miércoles;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo Ciudad de los Ángeles;17;Villaverde;175;Ángeles;Paseo Gigantes y Cabezudos, 36 frente Calle Pan y Toros;Paseo;Null;Gigantes y Cabezudos;número;36;441110,21;4467598,26;40,35686958;-3,693522647;Paseo Gigantes y Cabezudos, 36 frente Calle Pan y Toros;Jueves;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo de Arroyo Fontarrón ;13;Puente de Vallecas;136;Numancia;Calle Ramón Pérez de Ayala, 96;Calle;Null;Ramón Pérez de Ayala;número;96;444865,55;4472366,57;40,40008223;-3,649712762;Calle Ramón Pérez de Ayala,96;Jueves;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Vía pública;8;Fuencarral-El Pardo;081;El Pardo;Avenida de la Guardia, 29 ;Avenida;de la;Guardia;número;29;434220,61;4485763,46;40,51999208;-3,776532671;Avenida de la Guardia, 29 frente;Viernes;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo de Gandhi;15;Ciudad Lineal;152;Pueblo Nuevo;Calle Gandhi, 16   ;Calle;Null;Gandhi;número;16;446234,37;4474996,17;40,42386084;-3,633805474;Calle Gandhi, 16 en aparcamiento del interior del mercadillo  ;Viernes;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo de Rafael Finat;10;Latina;107;Águilas;Avenida de Las Aguilas, 1;Calle;de;Las Aguilas;número;1;435242,41;4470733,80;40,38468087;-3,762938463;Avenida de Las Aguilas, 1;Sábado;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo de Orcasur;12;Usera;122;Orcasur;Avenida de los Poblados;Avenida;de los;Poblados;número;s/n;440591,92;4469155,26;40,37085915;-3,699770961;Avenida Poblados c/v Avd. Orcasur (junto  pasarela);Sábado;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo de Ronda del Sur;13;Puente de Vallecas;131;Entrevías;Calle Los Barros, 34  ;Calle;Null;Los Barros;número;34;443627,28;4469361,89;40,37293137;-3,664037921;Calle Los Barros esquina Ronda del Sur  ;Domingo;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo UVA Hortaleza;16;Hortaleza;164;Pinar del Rey;Calle Santa Adela;Calle;Null;Santa Adela;número;16;444774,90;4481119,93;40,47893116;-3,651541766;Calle Santa Adela c/v Ctra. Estación de Hortaleza.(aparcamiento frente  mercadillo);Domingo;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
